Building,Address,Gross Sqft
The Valley Library,201 SW Waldo Pl,333920
Parking Garage,661 SW 26th St,330013
Gill Coliseum,660 SW 26th St,257106
Cordley Hall,2701 SW Campus Way,235914
Weniger Hall,103 SW Memorial Pl,213206
Agricultural & Life Sciences Building,2750 SW Campus Way,185629
Dixon Recreation Center,425 SW 26th Street,173776
Memorial Union Building,2501 SW Jefferson Way,166177
Kelley Engineering Center,110 SW Park Terrace,152166
Kerr Administration Bldg,1500 SW Jefferson Ave,141231
Learning Innovation Center,165 SW Sackett Place,138593
Magruder Hall,700 SW 30th St,130802
Valley Football Center,725 SW 30th Street,123594
Strand Agriculture Hall,170 SW Waldo Pl,114932
Snell Hall,2150 SW Jefferson Way,113530
Milam Hall,2520 SW Campus Way,110283
Austin Hall,2751 SW Jefferson Way,107613
Nash Hall,2820 SW Campus Way,107306
Linus Pauling Science Center,2900 SW Campus Way,106953
Richardson Hall,3180 SW Jefferson Way,101023
Langton Hall,2450 SW Jefferson Way,95037
Research Way Building,4700 SW Research Way,94420
Gilbert Hall,2100 SW Monroe Ave,85532
Women's Building,160 SW 26th Street,85441
Peavy Hall,3100 SW Jefferson Way,85319
"HP Corvallis Lease COE (Onami-HP Bldg 11, Ste 101)",1000Necircleblvdste11101,83864
Kidder Hall,2000 SW Campus Way,81329
Withycombe Hall,2921 SW Campus Way,81136
Tebeau Hall,1351 SW Washington,80323
P. Wayne Valley Sports Performance Center,2737 SW Ralph Miller Lane,76339
Waldo Hall,2250 SW Jefferson Way,75361
Burt Hall,2651 SW Orchard Ave,75332
McNary Hall,1220 SW Jefferson Ave,71334
Hinsdale Wave Research Lab,3550 SW Jefferson Way,68211
Dearborn Hall,1891 SW Campus Way,66692
Owen Hall,1501 SW Campus Way,64501
Johnson Hall,105 SW 26th,61926
McAlexander Fieldhouse,1800 SW Jefferson Way,61824
Bexell Hall,2251 SW Campus Way,58621
Oak Creek Building,3015 SW Western Blvd,57943
Crop Science Building,3050 Campus Way,57638
Wiegand Hall,3051 SW Campus Way,57610
Wilkinson Hall/ Gilfillan Auditorium,2601 SW Orchard Ave,56478
University Plaza,1600 SW Western Blvd,54132
Rogers Hall,2000 SW Monroe Ave,53710
Radiation Center,3451 SW Jefferson Way,52493
Goss Stadium,430 SW Langton Pl,50732
Gilbert Addition,2101 SW Campus Way,49906
LaSells Stewart Center,875 SW 26th Street,46540
CH2M Hill Alumni Center,725 SW 26th Street,45663
Ballard Extension Hall,2591 SW Campus Way,45250
Pharmacy,1601 SW Jefferson Ave,41851
Cascade Hall,601 SW 17th St,38765
Joyce Collin Furman Hall,200 SW 15th Street,38603
Graf Hall,1680 SW Monroe Ave,38221
Fairbanks Hall,220 SW 26th Street,37286
Gleeson Hall (Chem Engr),2115 SW Campus Way,36176
Covell Hall,1691 SW Campus Way,35760
Beth Ray Center For Academic Support,671 SW 26th Street,34211
West Greenhouse W13-16 Crop/GC,3201 SW Campus Way,34000
Manchester Riding Arena,5501 Nw Walnut Blvd,32040
Kearney Hall,1491 SW Campus Way,31952
Plageman Student Health Center,108 SW Memorial Pl,31603
East Greenhouse,2801 SW Campus Way,31247
Physical Plant Shops,560 SW 15th St,29554
Moreland Hall,2550 SW Jefferson Way,28943
Jefferson Street Bldg,3731 SW Jefferson,28361
Hallie E. Ford Center For Healthy Children and Families,2631 SW Campus Way,27262
OSU Foundation Center,850 SW 35th Street,27135
Community Hall,1650 SW Pioneer Pl,25806
Physical Plant Heating Plant,501 Benton Place,25045
Milne Computer Center,1800 SW Campus Way,23441
Dryden Hall,450 SW 30th Street,22515
Gilkey Hall,122 SW Waldo Pl,22263
Energy Center,3452 SW Jefferson Way,21575
Batcheller Hall,1791 SW Campus Way,19953
James E. Oldfield Animal Teaching Facility,3521 SW Campus Way,19799
Gladys Valley Gymnastics Center,1701 SW Jefferson Ave,18702
Sinnhuber Aquatic Research Lab,28645 E. Hwy 34,17466
Ocean Observing Center,126 SW Mckenzie,17319
Gilmore Hall,124 SW 26th Street,16683
Bates Hall,110 SW 26th Street,16134
Property Services,644 SW 13th St,15533
Hovland Hall,2700 SW Campus Way,15471
Heckart Lodge,2900 SW Jefferson Way,14251
West Greenhouse (W11&12) Hort/GC,3201 SW Campus Way,14207
West Greenhouse (W6&7),3201 SW Campus Way,14107
Reed Lodge,2950 SW Jefferson Way,13299
Navy ROTC Armory,2201 SW Washington Way,13271
Crew Facility,28255 Hwy 34,12774
Shepard Hall,2001 SW Campus Way,11512
Adams Hall,606 SW 15th St,11168
John L. Fryer Aquatic Animal Health Laboratory,34347 Ne Electric Rd,10991
Seed Lab,3291 SW Campus Way,10873
Precision Agricultural Systems Center,3531 SW Campus Way,10500
Lab Animal Resources Center,3151 SW Washington Way,10371
EOA Sciences Admin Bldg,101 SW 26th Street,10064
Autzen House,811 SW Jefferson Ave,9674
Clark Laboratory,3260 SW Campus Way,7987
Motor Pool,3200 SW Campus Way,7102
Environmental Health & Safety Annex,191 SW 35th Street,6978
The Access Lock and Key Shop,560 SW 15th St,6877
Vet Research Lab,3101 SW Washington Way,6601
Gilmore Annex,2650 SW Campus Way,5913
Team Oregon Building,3550 SW Deschutes St,4623
RAIL Lab Bldg,53Rd & Campus Way Se,4058
Dairy Barn Milking Parlor,4490 Harrison Blvd,3900
Physical Plant - Paint,560 SW 15th St,3855
Aero Engineering Lab,852 SW 30th Street,3637
Harris Black Cultural Center,100 SW Memorial Place,3494
Oak Creek - Lab,8840 Nw Oak Creek Drive,3477
Hattie Redmond Women and Gender Center,1700 SW Pioneer Pl,3394
Marine Geology Repository,891 SW 30th Street,3186
Einerson House,2638 Nw Jackson St,3179
Filtering Plant (Langton),2350 SW Jefferson Way,3167
Apiary (Bee) Building,844 SW 35th Street,2996
Fairbanks Annex,2651 SW Jefferson Way,2847
Team Oregon Storage Building,3550 SW Deschutes St,2400
West Greenhouse (W10),3201 SW Campus Way,2261
RAIL Class 1 Isolation A,53Rd & Campus Way Se,858
